City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
426,Avera,US,33.194,-82.5271,79.72,70,75,4.52,broken clouds
427,Kotido,UG,2.9806,34.1331,65.55,80,21,2.46,few clouds
428,Port Blair,IN,11.6667,92.75,81.52,82,100,7.54,overcast clouds
429,Huilong,CN,31.8111,121.655,84.97,79,97,4.59,overcast clouds
430,Nisia Floresta,BR,-6.0911,-35.2086,74.21,95,8,6.67,clear sky
431,Along,IN,28.1667,94.7667,77.22,99,100,1.99,overcast clouds
432,Pravda,RU,46.9396,142.009,68.0,62,1,7.78,clear sky
433,Bandarbeyla,SO,9.4942,50.8122,75.7,78,45,20.47,scattered clouds
434,Muros,ES,42.7762,-9.0603,64.99,91,10,7.96,clear sky
435,Azare,NG,11.6765,10.1948,73.38,90,100,8.16,light rain
436,Abu Samrah,SY,35.3029,37.1841,77.52,52,0,4.14,clear sky
437,Sept-Iles,CA,50.2001,-66.3821,66.72,92,20,5.99,few clouds
438,Conakry,GN,9.538,-13.6773,76.23,90,100,7.99,moderate rain
439,Iqaluit,CA,63.7506,-68.5145,42.53,81,75,16.11,light rain
440,Nurota,UZ,40.5614,65.6886,69.89,24,0,6.85,clear sky
441,Severomuysk,RU,56.1481,113.4267,59.25,74,85,4.32,light rain
442,Touho,NC,-20.7833,165.2333,70.11,63,95,22.37,overcast clouds
443,Geraldton,AU,-28.7667,114.6,59.41,72,0,14.97,clear sky
444,San Quintin,MX,30.4833,-115.95,73.58,72,3,7.43,clear sky
445,Wattegama,LK,6.7989,81.4808,79.72,79,100,2.73,overcast clouds
446,Port Hardy,CA,50.6996,-127.4199,71.78,49,20,10.36,few clouds
447,Celina,US,40.5489,-84.5702,80.85,90,79,12.64,broken clouds
448,Tessalit,ML,20.1986,1.0114,93.49,12,0,13.49,clear sky
449,Jalu,LY,29.0331,21.5482,82.45,52,0,4.5,clear sky
450,Ranao,PH,16.2076,119.8155,78.98,78,100,3.29,overcast clouds
451,Grand Gaube,MU,-20.0064,57.6608,72.0,84,11,5.01,few clouds
452,Maridi,SS,4.9158,29.4742,64.27,97,100,2.68,overcast clouds
453,Salta,AR,-24.7859,-65.4117,50.29,54,20,1.99,few clouds
454,Beitbridge,ZW,-22.2167,30.0,57.11,70,0,3.6,clear sky
455,The Valley,AI,18.217,-63.0578,82.26,81,49,21.14,scattered clouds
456,Point Fortin,TT,10.1833,-61.6833,80.53,80,3,10.0,clear sky
457,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.22,79,3,13.71,clear sky
458,Lagunas,PE,-5.2269,-75.6753,71.35,98,93,2.15,overcast clouds
459,Dharur,IN,18.8167,76.1167,77.02,71,75,9.71,broken clouds
460,Cairns,AU,-16.9167,145.7667,80.06,88,40,10.36,scattered clouds
461,San Giovanni In Fiore,IT,39.2633,16.6996,67.35,50,0,5.37,clear sky
462,Okha,RU,53.5739,142.9478,66.99,53,19,11.41,few clouds
463,Praia,CV,14.9215,-23.5087,77.54,69,75,10.36,broken clouds
464,Olafsvik,IS,64.8945,-23.7142,54.95,82,7,5.03,clear sky
465,Sungaipenuh,ID,-2.0833,101.3833,76.48,63,91,2.53,overcast clouds
466,Lakota,CI,5.8528,-5.6883,70.25,99,98,3.18,overcast clouds
467,Saint-Pierre,RE,-21.3393,55.4781,69.48,76,75,9.22,broken clouds
468,Cabedelo,BR,-6.9811,-34.8339,74.07,89,31,9.57,scattered clouds
469,Riyadh,SA,24.6877,46.7219,87.94,14,0,5.61,clear sky
470,Luganville,VU,-15.5333,167.1667,76.53,81,94,18.07,overcast clouds
471,Okhotsk,RU,59.3833,143.3,69.93,68,8,5.66,clear sky
472,Inhambane,MZ,-23.865,35.3833,63.14,91,8,8.79,clear sky
473,Tarbes,FR,43.25,0.1667,66.67,94,75,2.3,broken clouds
474,Hofn,IS,64.2539,-15.2082,51.89,85,100,8.41,overcast clouds
475,Kpandae,GH,8.4689,-0.0113,73.0,92,100,7.81,light rain
476,Bakchar,RU,57.0186,82.0711,54.7,98,100,9.51,light rain
477,Bulgan,MN,48.8125,103.5347,65.91,74,38,3.98,scattered clouds
478,Tambura,SS,5.6,27.4667,66.25,97,95,0.92,overcast clouds
479,Manggar,ID,-2.8833,108.2667,85.14,66,68,14.43,broken clouds
480,General Pico,AR,-35.6566,-63.7568,40.08,75,0,5.37,clear sky
481,Taonan,CN,45.3333,122.7833,64.78,79,100,11.3,overcast clouds
482,Visby,SE,57.6409,18.296,61.02,100,7,6.91,clear sky
483,Henties Bay,NA,-22.116,14.2845,51.85,90,7,5.41,clear sky
484,Kanakapura,IN,12.55,77.4167,76.24,77,100,8.23,overcast clouds
485,Mayo,US,38.8876,-76.5119,78.94,94,1,5.01,mist
486,Hohhot,CN,40.8106,111.6522,75.49,46,0,2.24,clear sky
487,Baghdad,IQ,33.3406,44.4009,84.11,34,0,5.75,clear sky
488,Rapid Valley,US,44.0625,-103.1463,89.2,28,1,10.36,clear sky
489,Finote Selam,ET,10.7,37.2667,54.52,95,20,2.98,few clouds
490,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,79,20,16.11,few clouds
491,Neiafu,TO,-18.65,-173.9833,70.48,100,90,11.5,light rain
492,Lufilufi,WS,-13.8745,-171.5986,89.38,71,28,13.51,scattered clouds
493,Mumbwa,ZM,-14.9783,27.0619,53.47,61,0,4.88,clear sky
494,Nortelandia,BR,-14.4547,-56.8028,68.18,55,8,3.31,clear sky
495,Colares,PT,38.7992,-9.4469,66.43,75,3,14.32,clear sky
496,Vallenar,CL,-28.5708,-70.7581,51.89,81,1,0.87,clear sky
497,Brae,GB,60.3964,-1.353,55.31,93,100,11.9,overcast clouds
498,Riohacha,CO,11.5444,-72.9072,79.74,86,39,3.06,scattered clouds
499,Mogok,MM,22.9167,96.5,67.55,99,100,3.13,light rain
500,Kaeo,NZ,-35.1,173.7833,61.32,71,14,8.48,few clouds
501,Ust-Kuyga,RU,70.0167,135.6,67.46,60,100,0.29,overcast clouds
502,Livingston,GB,55.9029,-3.5226,49.68,93,0,4.61,clear sky
503,Vyara,IN,21.1167,73.4,79.59,79,100,8.39,overcast clouds
504,Trairi,BR,-3.2778,-39.2689,79.11,81,4,12.84,clear sky
505,Astana,KZ,51.1801,71.446,57.15,82,90,8.95,overcast clouds
506,Richards Bay,ZA,-28.783,32.0377,60.01,65,0,7.47,clear sky
507,Mexico,PH,15.0646,120.7198,87.15,71,100,0.69,light rain
508,Lasa,IT,46.6166,10.7002,65.28,80,67,2.26,broken clouds
509,Dwarka,IN,22.2394,68.9678,80.64,79,100,15.35,overcast clouds
510,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,9.22,light rain
511,Plettenberg Bay,ZA,-34.0527,23.3716,53.01,92,79,10.74,moderate rain
